Date,Close,High,Low,Open,Volume
01/03/2021,125.1468201,125.2839237,120.250239,121.1903817,116307900
02/03/2021,122.5320435,126.0575802,122.4243181,125.7539946,102260900
03/03/2021,119.535347,123.109853,119.3198962,122.2284669,112966300
04/03/2021,117.6452484,121.0434767,116.1664864,119.2317433,178155000
05/03/2021,118.9085693,119.4178179,115.1382035,118.4776753,153766600
08/03/2021,113.9532394,118.4972662,113.8063405,118.4287144,154376600
09/03/2021,118.5853958,119.5353337,116.332973,116.5680068,129525800
10/03/2021,117.4983749,119.6430726,116.979331,119.1730049,111943300
11/03/2021,119.4374084,120.6615538,118.7518901,120.0054137,103026500
12/03/2021,118.5266342,118.6637379,116.6953178,117.9096677,88105100
15/03/2021,121.425415,121.4352103,117.9292565,118.8987849,92403800
16/03/2021,122.9727325,124.5886057,122.1403153,123.100041,115227900
17/03/2021,122.1794891,123.2567354,119.8095383,121.4841755,111932600
18/03/2021,118.0369797,120.6321691,117.8313242,120.3383712,121229700
19/03/2021,117.5081482,118.9183659,117.2045626,117.4200133,185549500
22/03/2021,120.837822,121.307897,117.772565,117.8411169,111912300
23/03/2021,120.0054092,121.6702438,119.6136813,120.7790699,95467100
24/03/2021,117.6060867,120.3579705,117.5865037,120.2796234,88530500
25/03/2021,118.0957565,119.1436322,116.5386471,117.0674788,98844700
26/03/2021,118.7029114,118.9673309,116.4602765,117.8606989,94071200
29/03/2021,118.8792114,120.0446003,118.2328665,119.1338358,80819200
30/03/2021,117.4200058,117.9096639,116.4015161,117.6256613,85671900
31/03/2021,119.6234818,120.9651402,118.6441655,119.1338236,118323800
01/04/2021,120.4558868,121.6114802,119.9564335,121.1022391,75089100
05/04/2021,123.2959137,123.550538,120.524447,121.307903,88651200
06/04/2021,123.5995178,124.5004871,123.051103,123.8835205,80171300
07/04/2021,125.2545395,125.2741225,122.5516248,123.2273553,83466700
08/04/2021,127.663681,127.6930593,125.8617425,126.2828414,88844600
09/04/2021,130.249054,130.28822,126.792069,127.1152451,106686700
